id,category,query1,query2,label
0,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血这两者之间有什么区别？,1
1,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血异同？,1
2,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血怎么治疗？,0
3,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血是什么原因导致的？,0
4,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血与其他疾病有关联吗？,0
5,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人可以百令胶囊和鸽子汤一起服用吗？,1
6,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人服用百令胶囊后能否喝鸽子汤？,1
7,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人吃百令胶囊和鸽子汤对病情有帮助吗？,0
8,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人吃百令胶囊能起作用吗？,0
9,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人能喝鸽子汤吗？,0
10,咳血,小孩吃了百令胶囊能打预防针吗,小孩吃了百令胶囊能不能打预防针,1
11,咳血,小孩吃了百令胶囊能打预防针吗,小孩吃了百令胶囊还能打预防针吗,1
12,咳血,小孩吃了百令胶囊能打预防针吗,百令胶囊能治那种病,0
13,咳血,小孩吃了百令胶囊能打预防针吗,小孩有哪些症状需要吃百令胶囊,0
14,咳血,小孩吃了百令胶囊能打预防针吗,小孩慢性支气管炎能吃百令胶囊吗,0
15,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,澳源一号乙酰半胱氨酸颗粒有哪些副作用,1
16,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,澳源一号乙酰半胱氨酸颗粒的副作用大吗,1
17,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,澳源一号乙酰半胱氨酸颗粒适用慢性支气管炎吗,0
18,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,过敏体质者能吃澳源一号乙酰半胱氨酸颗粒吗,0
19,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,澳源一号乙酰半胱氨酸颗粒是治那种病的,0
20,咳血,食欲不振可以用同仁堂百补增力丸吗,食欲不振可以吃同仁堂百补增力丸吗,1
21,咳血,食欲不振可以用同仁堂百补增力丸吗,食欲不振吃同仁堂百补增力丸行吗,1
22,咳血,食欲不振可以用同仁堂百补增力丸吗,同仁堂百补增力丸的疗效如何呢,0
23,咳血,食欲不振可以用同仁堂百补增力丸吗,脾胃不好的人可以长期吃同仁堂百补增力丸吗,0
24,咳血,食欲不振可以用同仁堂百补增力丸吗,同仁堂百补增力丸长期服用有副作用吗,0
25,咳血,消化不良用同仁堂百补增力丸有效果吗,消化不良吃同仁堂百补增力丸有没有效果,1
26,咳血,消化不良用同仁堂百补增力丸有效果吗,消化不良用同仁堂百补增力丸效果如何,1
27,咳血,消化不良用同仁堂百补增力丸有效果吗,消化不良的宝宝可以吃同仁堂百补增力丸吗,0
28,咳血,消化不良用同仁堂百补增力丸有效果吗,同仁堂百补增力丸的副作用大吗,0
29,咳血,消化不良用同仁堂百补增力丸有效果吗,胃痛可以吃百补增力丸吗,0
30,咳血,你好请问百补增力丸药有什么疗效,你好请问百补增力丸药有什么效果,1
31,咳血,你好请问百补增力丸药有什么疗效,你好请问百补增力丸药有什么作用,1
32,咳血,你好请问百补增力丸药有什么疗效,百补增力丸药忌高血压心脏病的人服用吗,0
33,咳血,你好请问百补增力丸药有什么疗效,百补增力丸药是处方药吗,0
34,咳血,你好请问百补增力丸药有什么疗效,宝宝可以吃百补增力丸吗,0
35,咳血,为什么服用了阿胶胶囊后月经来的很多,服用了阿胶胶囊后例假来的很多是什么原因,1
36,咳血,为什么服用了阿胶胶囊后月经来的很多,服用了阿胶胶囊后大姨妈来的很多是咋回事,1
37,咳血,为什么服用了阿胶胶囊后月经来的很多,头晕没力气可以吃阿胶胶囊吗,0
38,咳血,为什么服用了阿胶胶囊后月经来的很多,贫血服用阿胶胶囊行吗,0
39,咳血,为什么服用了阿胶胶囊后月经来的很多,阿胶胶囊是属于补气养血的中药吗,0
40,咳血,同仁堂二母宁嗽丸是激素药吗,同仁堂二母宁嗽丸是不是激素药,1
41,咳血,同仁堂二母宁嗽丸是激素药吗,同仁堂二母宁嗽丸属于激素药吗,1
42,咳血,同仁堂二母宁嗽丸是激素药吗,同仁堂二母宁嗽丸可以治哮喘吗,0
43,咳血,同仁堂二母宁嗽丸是激素药吗,感冒咳嗽能吃同仁堂二母宁嗽丸吗,0
44,咳血,同仁堂二母宁嗽丸是激素药吗,什么症状可以吃同仁堂二母宁嗽丸,0
45,咳血,吃完清肺散结丸一个疗程后吐的痰粘吗,服用清肺散结丸一个疗程后吐的痰还粘吗,1
46,咳血,吃完清肺散结丸一个疗程后吐的痰粘吗,吃完清肺散结丸一个疗程后吐的痰是什么样子,1
47,咳血,吃完清肺散结丸一个疗程后吐的痰粘吗,肺癌手术后可以吃清肺散结丸吗,0
48,咳血,吃完清肺散结丸一个疗程后吐的痰粘吗,清肺散结丸能用于重症结核吗,0
49,咳血,吃完清肺散结丸一个疗程后吐的痰粘吗,服用清肺散结丸后需要多喝水吗,0
50,咳血,要喝多久益肺清化颗粒才为一疗程呢,喝益肺清化颗粒多长时间为一疗程,1
51,咳血,要喝多久益肺清化颗粒才为一疗程呢,益肺清化颗粒一疗程有几天,1
52,咳血,要喝多久益肺清化颗粒才为一疗程呢,喝益肺清化颗粒有副作用吗,0
53,咳血,要喝多久益肺清化颗粒才为一疗程呢,益肺清化颗粒是中成药吗,0
54,咳血,要喝多久益肺清化颗粒才为一疗程呢,肺结核咳血能用益肺清化颗粒吗,0
55,咳血,感冒咳嗽厉害怎么办请问怎么进行康复训练,感冒咳嗽严重该咋办，需要进行什么样的康复训练,1
56,咳血,感冒咳嗽厉害怎么办请问怎么进行康复训练,感冒咳嗽厉害有啥办法，能进行哪些康复训练,1
57,咳血,感冒咳嗽厉害怎么办请问怎么进行康复训练,感冒咳嗽的厉害是肺炎吗,0
58,咳血,感冒咳嗽厉害怎么办请问怎么进行康复训练,感冒咳嗽的厉害需要用消炎药吗,0
59,咳血,感冒咳嗽厉害怎么办请问怎么进行康复训练,宝宝感冒咳嗽的厉害能吃头孢类的药吗,0
0,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血是什么原因？,1
1,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后为什么会咯血？,1
2,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，应该怎么处理？,0
3,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，需要就医吗？,0
4,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，是否很严重？,0
5,咳血,百令胶囊需要注意什么？,百令胶囊有什么注意事项？,1
6,咳血,百令胶囊需要注意什么？,服用百令胶囊有什么需要特别注意的吗？,1
7,咳血,百令胶囊需要注意什么？,百令胶囊如何服用？,0
8,咳血,百令胶囊需要注意什么？,百令胶囊效果好吗？,0
9,咳血,百令胶囊需要注意什么？,百令胶囊需要如何服用？,0
10,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少寿命？,1
11,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少时间？,1
12,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期能治疗吗？,0
13,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期该怎么办？,0
14,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期能治好吗？,0
15,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是怎么回事？,1
16,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么情况？,1
17,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年需要治病吗？,0
18,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年怎么处理？,0
19,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么原因导致的？,0
20,咳血,百令胶囊能长期服用吗?,百令胶囊是否可以长时间服用?,1
21,咳血,百令胶囊能长期服用吗?,百令胶囊长时间服用会有问题吗?,1
22,咳血,百令胶囊能长期服用吗?,百令胶囊能和其他药物一起服用吗?,0
23,咳血,百令胶囊能长期服用吗?,百令胶囊怎么服用?,0
24,咳血,百令胶囊能长期服用吗?,百令胶囊的服用方法是什么?,0
25,咳血,我国最常见的咯血原因是什么?,我国主要的咯血原因是什么?,1
26,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血是什么导致的?,1
27,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血有哪些?,0
28,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血的种类有多少?,0
29,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血是什么?,0
30,咳血,大咯血的处理原则是什么?,大咯血该怎么处理?,1
31,咳血,大咯血的处理原则是什么?,如何处理大咯血?,1
32,咳血,大咯血的处理原则是什么?,大咯血是什么情况?,0
33,咳血,大咯血的处理原则是什么?,大咯血的什么病?,0
34,咳血,大咯血的处理原则是什么?,大咯血的原因是什么?,0
35,咳血,咯血的话应该怎么抢救？,咯血的话应该怎么处理？,1
36,咳血,咯血的话应该怎么抢救？,咯血的话应该如何进行抢救？,1
37,咳血,咯血的话应该怎么抢救？,咯血的话应该去医院吗？,0
38,咳血,咯血的话应该怎么抢救？,咯血的话是什么原因造成的？,0
39,咳血,咯血的话应该怎么抢救？,咯血的话应该如何预防？,0
40,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是什么病症？,1
41,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是哪一种病呢？,1
42,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是病吗？,0
43,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血需要去看病吗？,0
44,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血这种病严重吗？,0
45,咳血,请问肺癌造成咯血的原因是什么?,请问为什么肺癌会造成咯血呢?,1
46,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌是如何导致咯血的？,1
47,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌会造成咯血吗？,0
48,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌造成的咯血应该如何治疗？,0
49,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌造成的咯血严重吗？,0
50,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血有什么治疗的方法？,1
51,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血该怎么治疗？,1
52,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血需要治疗吗？,0
53,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血严重吗？,0
54,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血是什么原因呢？,0
55,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎会造成咯血吗？,1
56,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎是否会导致咯血？,1
57,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血怎么办？,0
58,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血该怎么治疗？,0
59,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血吃什么药？,0
60,咳血,肺癌不咯血是不是情况好转了？,肺癌不咯血是不是说明变好了？,1
61,咳血,肺癌不咯血是不是情况好转了？,肺癌不咯血是不是情况好转了？,1
62,咳血,肺癌不咯血是不是情况好转了？,肺癌会不会咯血？,0
63,咳血,肺癌不咯血是不是情况好转了？,肺癌会导致咯血的情况吗？,0
64,咳血,肺癌不咯血是不是情况好转了？,肺癌和咯血有关系吗？,0
65,咳血,急性大咯血的症状有哪些？,急性大咯血会有什么症状呢？,1
66,咳血,急性大咯血的症状有哪些？,急性大咯血会出现什么样的症状？,1
67,咳血,急性大咯血的症状有哪些？,急性大咯血的种类有哪些？,0
68,咳血,急性大咯血的症状有哪些？,急性大咯血有哪些治疗方法？,0
69,咳血,急性大咯血的症状有哪些？,急性大咯血的原因是什么？,0
70,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊什么时候吃比较好？,1
71,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊适合饭前吃吗？,1
72,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊有副作用吗？,0
73,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊效果好不好？,0
74,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊可以和其他药一起吃吗？,0
75,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿服用百令胶囊可以吗？,1
76,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿是否可以吃百令胶囊？,1
77,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿可以服用感冒药吗？,0
78,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿吃什么药好？,0
79,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿可以治疗吗？,0
80,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸适合什么样的症状？,1
81,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸的效果好吗？,1
82,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸有哪些副作用？,0
83,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸适应孕妇服用吗？,0
84,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸有哪些注意事项？,0
85,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏是怎么使用的？,1
86,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏如何服用？,1
87,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏适合儿童服用吗？,0
88,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏有什么副作用呢？,0
89,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏的效果怎么样？,0
90,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊是味道是怎样的？,1
91,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊味道好吗，苦还是咸？,1
92,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊是苦的还是咸的？,0
93,咳血,你好百令胶囊是苦的还是咸的？,您好百令胶囊怎么服用?,0
94,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊的效果怎么样？,0
95,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊是如何服用的呢？,1
96,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道怎么服用百令胶囊？,1
97,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊适应什么样的症状？,0
98,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊可以和其他药物一起吃吗？,0
99,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊感冒的时候可以吃吗？,0
100,咳血,请问百令胶囊一天吃多少？,请问百令胶囊一天需要服用多少呢？,1
101,咳血,请问百令胶囊一天吃多少？,请问百令胶囊是一日三次吗？,1
102,咳血,请问百令胶囊一天吃多少？,请问百令胶囊的效果怎么样？,0
103,咳血,请问百令胶囊一天吃多少？,请问百令胶囊是苦的还是咸的？,0
104,咳血,请问百令胶囊一天吃多少？,请问百令胶囊的注意事项是什么？,0
105,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊会不会产生发烧的副作用？,1
106,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊是不是会有发烧的不良反应？,1
107,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊有什么作用？,0
108,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊可以治疗发烧吗？,0
109,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊怎么服用？,0
110,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸在药店买比医院更便宜吗？,1
111,咳血,立效止嗽立效丸药店比医院的便宜吗？,药店的立效止嗽立效丸的价格比医院的便宜一些吗？,1
112,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸是在医院购买吗？,0
113,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸药店有卖吗？,0
114,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸效果？,0
115,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒多少钱？,1
116,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒需要多少钱？,1
117,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒的用量是多少？,0
118,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒如何服用？,0
119,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒的副作用是什么？,0
120,咳血,西黄胶囊可以治疗肺结节吗,西黄胶囊可不可以治疗肺结节吗,1
121,咳血,西黄胶囊可以治疗肺结节吗,西黄胶囊能治疗肺结节吗,1
122,咳血,西黄胶囊可以治疗肺结节吗,肺结节是呼吸系统疾病吗,0
123,咳血,西黄胶囊可以治疗肺结节吗,那种中成药可以治肺结节,0
124,咳血,西黄胶囊可以治疗肺结节吗,治疗肺结节需要手术吗,0
125,咳血,益肺清化颗粒一盒有多少袋能喝多久,益肺清化颗粒一盒有几袋能喝几天,1
126,咳血,益肺清化颗粒一盒有多少袋能喝多久,益肺清化颗粒一盒装几袋能喝多长时间,1
127,咳血,益肺清化颗粒一盒有多少袋能喝多久,益肺清化颗粒有什么作用,0
128,咳血,益肺清化颗粒一盒有多少袋能喝多久,益肺清化颗粒主要成分是什么,0
129,咳血,益肺清化颗粒一盒有多少袋能喝多久,有肺结节可以吃益肺清化颗粒吗,0
130,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,肺癌化疗后复发，咳得厉害有什么办法,1
131,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,化疗后肺癌又复发了，咳嗽厉害怎么治,1
132,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,肺癌做过化疗后还用输液吗,0
133,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,肺癌做过化疗后是不是需要加强营养,0
134,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,肺癌做过化疗后需要注意什么,0
135,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚吃川黄口服液百令胶囊归还有什么,1
136,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚吃川黄口服液百令胶囊归还有哪种药,1
137,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚的症状有哪些,0
138,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚吃什么食物能补,0
139,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚该怎样治疗,0
140,咳血,荷叶丸这个药有什么样的作用,荷叶丸这个药有什么作用,1
141,咳血,荷叶丸这个药有什么样的作用,荷叶丸的作用是什么,1
142,咳血,荷叶丸这个药有什么样的作用,荷叶丸属于中成药吗,0
143,咳血,荷叶丸这个药有什么样的作用,荷叶丸有清热和化瘀的功效吗,0
144,咳血,荷叶丸这个药有什么样的作用,荷叶丸是中药吗,0
145,咳血,秦巴止血胶囊可以治疗什么病,秦巴止血胶囊用于治疗什么病,1
146,咳血,秦巴止血胶囊可以治疗什么病,什么病可以吃秦巴止血胶囊,1
147,咳血,秦巴止血胶囊可以治疗什么病,秦巴止血胶囊可以治疗咳嗽吐血吗,0
148,咳血,秦巴止血胶囊可以治疗什么病,鼻子出血可以吃秦巴止血胶囊吗,0
149,咳血,秦巴止血胶囊可以治疗什么病,秦巴止血胶囊成分有哪些,0
150,咳血,秦巴止血胶囊的功能大吗,秦巴止血胶囊的功能有哪些,1
151,咳血,秦巴止血胶囊的功能大吗,秦巴止血胶囊的有哪些功能,1
152,咳血,秦巴止血胶囊的功能大吗,秦巴止血胶囊能治各种出血吗,0
153,咳血,秦巴止血胶囊的功能大吗,月经量大过多能吃秦巴止血胶囊吗,0
154,咳血,秦巴止血胶囊的功能大吗,秦巴止血胶囊治疗子宫肌瘤出血吗,0
155,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,肺癌能不能吃阿斯美复方甲氧那明胶囊,1
156,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,肺癌可以吃阿斯美复方甲氧那明胶囊吗,1
157,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,阿斯美复方甲氧那明胶囊能长期服用吗,0
158,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,哮喘可以吃阿斯美复方甲氧那明胶囊吗,0
159,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,肺癌患者吃那种药能缓解咳嗽症状吗,0
160,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,阿斯美复方甲氧那明胶囊治疗咳嗽有效吗,1
161,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,阿斯美复方甲氧那明胶囊治疗咳嗽效果怎么样,1
162,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,长期服用阿斯美复方甲氧那明胶囊有哪些副作用,0
163,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,复方甲氧那明胶囊是治疗哮喘的常用药吗,0
164,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,阿斯美复方甲氧那明胶囊还治那种病,0
165,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,肝癌患者能同时服用西黄胶囊和中药吗,1
166,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,肝癌患者可以一块服用西黄胶囊和中药吗,1
167,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,肝癌患者可以把保健品代替药吗,0
168,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,西黄胶囊是中成药吗,0
169,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,肝癌患者可以长期服用西黄胶囊吗,0
170,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊哪个效果好,1
171,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊哪个疗效好,1
172,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊都能治肺结核吗,0
173,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊能一起服用吗,0
174,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊都是中药吗,0
175,咳血,哪个牌子的达肺草疗效比较好呢,达肺草哪个牌子疗效比较好呢,1
176,咳血,哪个牌子的达肺草疗效比较好呢,什么牌子的达肺草效果比较好呢,1
177,咳血,哪个牌子的达肺草疗效比较好呢,达肺草能治疗肺纤维化吗,0
178,咳血,哪个牌子的达肺草疗效比较好呢,达肺草对于治疗急慢性呼吸道疾病效果怎么样,0
179,咳血,哪个牌子的达肺草疗效比较好呢,达肺草属于中草药吗,0
180,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,同仁堂百补增力丸可以治疗哪些疾病,1
181,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,同仁堂百补增力丸适用哪些疾病,1
182,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,脾胃不好的人可以吃同仁堂百补增力丸吗,0
183,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,同仁堂百补增力丸的成分有哪些,0
184,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,同仁堂百补增力丸是什么药,0
185,咳血,你好百令胶囊吃多久见效,百令胶囊吃多长时间见效,1
186,咳血,你好百令胶囊吃多久见效,百令胶囊服用几天可见成效,1
187,咳血,你好百令胶囊吃多久见效,气管炎可以吃百令胶囊吗,0
188,咳血,你好百令胶囊吃多久见效,百令胶囊能长期吃吗,0
189,咳血,你好百令胶囊吃多久见效,百令胶囊的十大功效是什么,0
190,咳血,咨询一下百令胶囊是处方药吗,咨询一下百令胶囊是非处方药吗,1
191,咳血,咨询一下百令胶囊是处方药吗,咨询一下百令胶囊是不是处方药,1
192,咳血,咨询一下百令胶囊是处方药吗,百令胶囊适用多大年龄的人,0
193,咳血,咨询一下百令胶囊是处方药吗,各大药店能买到百令胶囊吗,0
194,咳血,咨询一下百令胶囊是处方药吗,感冒咳嗽能吃百令胶囊吗,0
195,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,小孩吃了富露施咳嗽更厉害了是为什么,1
196,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,小孩吃了富露施咳嗽更厉害了是什么原因,1
197,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,小孩感冒咳嗽能吃富露施吗,0
198,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,多大的小孩可以吃富露施,0
199,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,患有哮喘的孩子可以吃富露施吗,0
200,咳血,孕妇可以吃百补增力丸吗,孕妇能吃百补增力丸吗,1
201,咳血,孕妇可以吃百补增力丸吗,孕妇可以服用百补增力丸吗,1
202,咳血,孕妇可以吃百补增力丸吗,百补增力丸适合儿童吃吧,0
203,咳血,孕妇可以吃百补增力丸吗,百补增力丸主要用于开胃健脾吗,0
204,咳血,孕妇可以吃百补增力丸吗,患有高血压可以吃百补增力丸吗,0
205,咳血,血热月经淋漓半月可以吃断血流片吗,血热月经淋漓半月适合吃断血流片吗,1
